# t theta omega E_kin E_pot E_tot
1.95000 0.54657 1.76846 1.56372 1.42922 2.99294
1.96000 0.56404 1.72474 1.48737 1.51955 3.00692
1.97000 0.58106 1.67971 1.41071 1.61003 3.02073
1.98000 0.59763 1.63339 1.33398 1.70036 3.03434
1.99000 0.61373 1.58584 1.25745 1.79026 3.04771
2.00000 0.62934 1.53711 1.18135 1.87946 3.06081
2.01000 0.64447 1.48723 1.10593 1.96769 3.07361
2.02000 0.65908 1.43625 1.03141 2.05467 3.08608
2.03000 0.67319 1.38422 0.95803 2.14017 3.09820
2.04000 0.68677 1.33117 0.88600 2.22392 3.10993
2.05000 0.69981 1.27715 0.81556 2.30569 3.12125
2.06000 0.71231 1.22221 0.74690 2.38523 3.13213
2.07000 0.72425 1.16638 0.68023 2.46234 3.14257
2.08000 0.73563 1.10972 0.61573 2.53679 3.15252
2.09000 0.74644 1.05225 0.55361 2.60838 3.16199
2.10000 0.75667 0.99402 0.49403 2.67691 3.17095
2.11000 0.76632 0.93507 0.43717 2.74221 3.17938
2.12000 0.77537 0.87544 0.38319 2.80408 3.18728
2.13000 0.78383 0.81516 0.33225 2.86238 3.19463
2.14000 0.79167 0.75429 0.28448 2.91695 3.20142
2.15000 0.79891 0.69285 0.24002 2.96764 3.20766
2.16000 0.80553 0.63088 0.19900 3.01432 3.21332
2.17000 0.81153 0.56842 0.16155 3.05687 3.21842
2.18000 0.81690 0.50551 0.12777 3.09517 3.22294
2.19000 0.82163 0.44217 0.09776 3.12914 3.22690
2.20000 0.82574 0.37846 0.07162 3.15867 3.23029
2.21000 0.82920 0.31440 0.04942 3.18370 3.23312
2.22000 0.83202 0.25003 0.03126 3.20414 3.23539
2.23000 0.83420 0.18538 0.01718 3.21994 3.23713
2.24000 0.83573 0.12049 0.00726 3.23107 3.23833
2.25000 0.83661 0.05540 0.00153 3.23747 3.23901
2.26000 0.83684 -0.00986 0.00005 3.23913 3.23918
2.27000 0.83641 -0.07525 0.00283 3.23603 3.23886
2.28000 0.83533 -0.14074 0.00990 3.22817 3.23808
2.29000 0.83360 -0.20629 0.02128 3.21556 3.23684
2.30000 0.83121 -0.27187 0.03696 3.19821 3.23517
2.31000 0.82816 -0.33743 0.05693 3.17617 3.23310
2.32000 0.82446 -0.40294 0.08118 3.14946 3.23064
2.33000 0.82010 -0.46837 0.10968 3.11814 3.22783
2.34000 0.81509 -0.53366 0.14240 3.08229 3.22469
2.35000 0.80943 -0.59878 0.17927 3.04197 3.22124
2.36000 0.80312 -0.66370 0.22025 2.99728 3.21753
2.37000 0.79616 -0.72837 0.26526 2.94831 3.21357
2.38000 0.78855 -0.79274 0.31422 2.89519 3.20940
2.39000 0.78030 -0.85677 0.36703 2.83803 3.20506
2.40000 0.77142 -0.92043 0.42359 2.77698 3.20057
2.41000 0.76190 -0.98365 0.48379 2.71218 3.19597
2.42000 0.75175 -1.04640 0.54748 2.64381 3.19129
2.43000 0.74097 -1.10864 0.61454 2.57204 3.18658
2.44000 0.72957 -1.17030 0.68480 2.49706 3.18185
2.45000 0.71757 -1.23134 0.75810 2.41906 3.17716
2.46000 0.70495 -1.29171 0.83425 2.33827 3.17253
2.47000 0.69173 -1.35135 0.91308 2.25492 3.16799
2.48000 0.67793 -1.41022 0.99436 2.16923 3.16360
